Carat,Colour,Clarity,Lab,Price ($US)
0.51,3,2,GEM,2695.7
0.55,5,1,GEM,2523.5
0.56,2,4,GEM,2730
0.57,5,2,GEM,2390.5
0.6,5,1,GEM,3003.7
0.63,2,1,GEM,4558.4
0.7,2,4,GEM,4060
0.7,3,2,GEM,4399.5
0.7,3,5,GEM,3585.4
0.7,3,5,GEM,3585.4
0.7,4,4,GEM,3585.4
0.7,5,3,GEM,3585.4
0.71,1,4,GEM,4460.4
0.71,2,4,GEM,4116.7
0.71,5,3,GEM,3635.1
0.72,2,4,GEM,4172.7
0.72,5,2,GEM,3963.4
0.73,2,5,GEM,4016.6
0.73,5,4,GEM,3521
0.73,5,4,GEM,3521
0.73,6,2,GEM,3308.9
0.73,6,4,GEM,2954.7
0.74,4,3,GEM,4070.5
0.74,5,5,GEM,3209.5
0.75,1,3,GEM,5157.6
0.75,6,3,GEM,3266.9
0.75,6,4,GEM,3048.5
0.76,1,1,GEM,6919.5
0.77,3,2,GEM,4843.3
0.78,5,4,GEM,3770.2
0.8,6,5,GEM,3382.4
0.83,2,5,GEM,5009.2
0.9,3,4,GEM,5376
1,1,2,GEM,10907.4
1,1,4,GEM,7993.3
1,2,4,GEM,7411.6
1,2,5,GEM,6829.9
1,3,1,GEM,9739.1
1,3,3,GEM,7411.6
1,3,4,GEM,7499.1
1,3,5,GEM,6636
1,4,3,GEM,6927.2
1,4,4,GEM,6733.3
1,4,5,GEM,6418.3
1,4,5,GEM,6442.1
1,5,5,GEM,6151.6
1,6,4,GEM,5666.5
1,6,5,GEM,5472.6
1.01,1,2,GEM,11205.6
1.01,2,4,GEM,7484.4
1.01,2,5,GEM,6897.1
1.01,3,4,GEM,7190.4
1.01,3,5,GEM,6701.1
1.01,5,4,GEM,6407.1
1.01,5,5,GEM,6211.1
1.01,6,2,GEM,6211.1
1.01,6,3,GEM,5918.5
1.01,6,5,GEM,5526.5
1.02,3,4,GEM,7260.4
1.02,3,5,GEM,6766.2
1.02,4,3,GEM,7063
1.03,2,4,GEM,7630
1.04,3,4,GEM,7399.7
1.04,6,1,GEM,6694.1
1.05,6,3,GEM,6146.7
1.06,4,5,GEM,6820.1
1.06,5,5,GEM,6511.4
1.07,6,3,GEM,6261.5
1.1,5,5,GEM,6752.2
0.18,3,2,INT,576.1
0.18,3,3,INT,535.5
0.18,4,1,INT,562.1
0.18,4,1,INT,562.1
0.18,4,3,INT,493.5
0.18,5,1,INT,507.5
0.19,1,3,INT,676.9
0.19,2,1,INT,735
0.19,3,1,INT,676.9
0.19,3,2,INT,604.1
0.19,3,3,INT,560
0.19,4,1,INT,589.4
0.19,4,2,INT,560
0.19,5,1,INT,530.6
0.2,1,4,INT,616
0.2,4,1,INT,616
0.2,4,4,INT,493.5
0.2,4,5,INT,446.6
0.21,1,4,INT,643.3
0.21,2,1,INT,804.3
0.21,3,1,INT,739.9
0.21,4,1,INT,643.3
0.22,2,1,INT,838.6
0.23,2,1,INT,873.6
0.23,3,1,INT,802.9
0.23,4,1,INT,696.5
0.24,5,1,INT,775.6
0.25,3,1,INT,1039.5
0.25,4,1,INT,898.1
0.25,5,1,INT,804.3
0.25,6,1,INT,757.4
0.26,3,1,INT,1077.3
0.26,3,2,INT,955.5
0.26,3,3,INT,882
0.26,6,1,INT,784.7
0.27,3,1,INT,1116.5
0.27,5,1,INT,863.1
0.28,6,1,INT,839.3
0.29,4,1,INT,1029.7
0.29,6,1,INT,866.6
0.3,2,3,INT,1106
0.3,3,3,INT,1021.3
0.3,4,2,INT,1021.3
0.3,5,3,INT,852.6
0.3,6,1,INT,909.3
0.31,2,3,INT,1139.6
0.31,3,2,INT,1139.6
0.31,6,1,INT,935.9
0.32,5,1,INT,1023.4
0.33,5,1,INT,1052.1
0.34,3,2,INT,1241.1
0.34,3,3,INT,1145.2
0.35,3,2,INT,1274.7
0.35,4,3,INT,1078
0.4,4,1,INT,1593.2
0.41,6,2,INT,1131.2
0.41,6,3,INT,1054.2
0.47,3,3,INT,1855.7
0.48,3,4,INT,1668.1
0.5,4,1,INT,2556.4
0.51,2,3,INT,2605.4
0.51,3,2,INT,2605.4
0.52,6,1,INT,2166.5
0.55,3,3,INT,2594.2
0.56,2,3,INT,2849
0.56,4,3,INT,2429
0.58,2,2,INT,3381.7
0.58,3,2,INT,2946.3
0.58,4,2,INT,2674.7
0.7,4,2,INT,3924.9
0.7,4,3,INT,3728.2
0.71,1,4,INT,4312
0.76,3,3,INT,4266.5
0.78,4,3,INT,4155.9
1,5,3,INT,6539.4
1.01,4,4,INT,6799.1
1.01,5,5,INT,6211.1
1.01,6,4,INT,5722.5
0.5,3,2,DHC,2644.6
0.5,4,2,DHC,2402.4
0.51,3,2,DHC,2695.7
0.52,2,5,DHC,2342.2
0.52,5,2,DHC,2191
0.53,3,2,DHC,2796.5
0.53,3,3,DHC,2590.7
0.55,4,3,DHC,2470.3
0.56,3,4,DHC,2566.9
0.56,3,5,DHC,2241.4
0.57,3,5,DHC,2279.2
0.57,5,2,DHC,2390.5
0.58,5,1,DHC,2654.4
0.6,4,4,DHC,2747.5
0.6,4,5,DHC,2394.7
0.6,5,2,DHC,2747.5
0.61,5,3,DHC,2531.2
0.62,6,3,DHC,2530.5
0.64,5,3,DHC,2649.5
0.65,6,3,DHC,2550.1
0.66,5,2,DHC,3010
0.7,2,2,DHC,4806.9
0.7,2,3,DHC,4399.5
0.7,4,2,DHC,4060
0.7,4,3,DHC,3857
0.7,5,5,DHC,3042.2
0.71,4,1,DHC,4460.4
0.71,5,3,DHC,3635.1
0.72,5,2,DHC,3963.4
0.73,3,5,DHC,3733.1
0.73,4,2,DHC,4228.7
0.74,5,2,DHC,4070.5
0.8,3,1,DHC,6027.7
0.8,3,4,DHC,4833.5
0.8,4,3,DHC,4833.5
0.8,5,3,DHC,4491.2
0.8,5,4,DHC,4235.7
0.81,2,2,DHC,6100.5
0.81,2,5,DHC,4891.6
0.81,3,4,DHC,4891.6
0.81,4,4,DHC,4546.5
0.81,5,1,DHC,5150.6
0.82,3,5,DHC,4600.4
0.82,4,3,DHC,4950.4
0.85,3,2,DHC,5851.3
0.85,3,5,DHC,4763.5
0.85,4,2,DHC,5397.7
0.86,5,5,DHC,4084.5
1,1,3,DHC,9642.5
1,2,2,DHC,9835.7
1,2,3,DHC,7993.3
1,2,4,DHC,7411.6
1,3,2,DHC,8187.2
1,3,3,DHC,7411.6
1,4,2,DHC,7315
1,4,3,DHC,6927.2
1,4,5,DHC,6442.1
1,5,2,DHC,6636
1,5,4,DHC,6345.5
1,5,5,DHC,6151.6
1,6,2,DHC,6151.6
1,6,3,DHC,5860.4
1,6,4,DHC,5666.5
1,6,5,DHC,5472.6
1.01,1,3,DHC,9736.3
1.01,2,3,DHC,8071.7
1.01,2,4,DHC,7484.4
1.01,3,2,DHC,8267.7
1.01,3,4,DHC,7190.4
1.01,4,3,DHC,6995.1
1.01,4,5,DHC,6505.1
1.01,5,3,DHC,6603.1
1.01,5,4,DHC,6407.1
1.01,6,2,DHC,6211.1
1.01,6,4,DHC,5722.5
1.02,3,3,DHC,7557.2
1.06,5,3,DHC,6923
1.02,5,5,DHC,6271.3
1.09,6,3,DHC,6374.9
